2025-05-21 01:30:44 INFO  [main] c.l.service.impl.JsonVectorStorage - JsonVectorStorage initialized with base directory: ./data/test/vector-store 
2025-05-21 01:30:45 INFO  [main] c.l.s.impl.RobustVectorStoreService - Initializing RobustVectorStoreService with storage path: ./data/test/vector-store 
2025-05-21 01:30:45 INFO  [main] c.l.s.impl.RobustVectorStoreService - Vector store directory exists: ./data/test/vector-store 
2025-05-21 01:30:45 INFO  [main] c.l.s.impl.RobustVectorStoreService - Loading namespaces from file: /Users/psambaraju/Desktop/cursorProjects/l3AgentNew/./data/test/vector-store /namespaces.json (size: 11 bytes)
2025-05-21 01:30:45 INFO  [main] c.l.s.impl.RobustVectorStoreService - Loaded 1 repository namespaces: default
2025-05-21 01:30:45 INFO  [main] c.l.s.impl.RobustVectorStoreService - Beginning to initialize 1 namespaces
2025-05-21 01:30:45 INFO  [main] c.l.s.impl.RobustVectorStoreService - Initializing namespace: default
2025-05-21 01:30:45 INFO  [main] c.l.s.impl.RobustVectorStoreService - Initializing namespace default with path: ./data/test/vector-store /default
2025-05-21 01:30:45 INFO  [main] c.l.s.impl.RobustVectorStoreService - Found metadata file for namespace default: /Users/psambaraju/Desktop/cursorProjects/l3AgentNew/./data/test/vector-store /default/embedding_metadata.json (size: 579 bytes)
2025-05-21 01:30:45 INFO  [main] c.l.s.impl.RobustVectorStoreService - Loading metadata for namespace default from /Users/psambaraju/Desktop/cursorProjects/l3AgentNew/./data/test/vector-store /default/embedding_metadata.json
2025-05-21 01:30:45 WARN  [main] c.l.s.impl.RobustVectorStoreService - Metadata entry test has no corresponding vector file in namespace default
2025-05-21 01:30:45 WARN  [main] c.l.s.impl.RobustVectorStoreService - Metadata entry test has no corresponding vector file in namespace default
2025-05-21 01:30:45 INFO  [main] c.l.s.impl.RobustVectorStoreService - Loaded metadata for namespace default: 0 valid entries, 2 invalid entries in 5ms
2025-05-21 01:30:45 INFO  [main] c.l.s.impl.RobustVectorStoreService - Creating in-memory HNSW index for namespace default with initial capacity: 10000
2025-05-21 01:30:45 INFO  [main] c.l.s.impl.RobustVectorStoreService - Building index from storage for namespace default
2025-05-21 01:30:45 INFO  [main] c.l.service.impl.InMemoryHnswIndex - Building in-memory HNSW index for namespace default from storage
2025-05-21 01:30:45 WARN  [main] c.l.service.impl.JsonVectorStorage - Vectors directory does not exist for namespace default: /Users/psambaraju/Desktop/cursorProjects/l3AgentNew/./data/test/vector-store /default/vectors
2025-05-21 01:30:45 WARN  [main] c.l.service.impl.InMemoryHnswIndex - No vectors found in storage for namespace default
2025-05-21 01:30:45 INFO  [main] c.l.s.impl.RobustVectorStoreService - Initialized namespace default with 0 metadata entries and 0 indexed vectors in 0ms
2025-05-21 01:30:45 INFO  [main] c.l.s.impl.RobustVectorStoreService - Namespace default initialization completed in 117ms
2025-05-21 01:30:45 INFO  [main] c.l.s.impl.RobustVectorStoreService - Loaded 0 embedding failures
2025-05-21 01:30:45 INFO  [main] c.l.s.impl.RobustVectorStoreService - RobustVectorStoreService initialized with 1 namespaces, 0 total embeddings, 0 embedding failures in 122ms
2025-05-21 01:30:45 INFO  [main] c.l.s.impl.RobustVectorStoreService - Vector store memory usage: 81MB
